schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,review_status,metadata_verification_status
2,2026-08-14,Leads,Leads,Country,Country,text,unused,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Country,Country,text,unused,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Country,Country,text,unused,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,used,Deals,Deals,Coverage Needs,Coverage_Needs,multiselectpicklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Created By,Created_By,ownerlookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Created By,Created_By,ownerlookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Created By,Created_By,ownerlookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Created Time,Created_Time,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Created Time,Created_Time,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Created Time,Created_Time,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Current Call Handling,Current_Call_Handling,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Current Call Handling,Current_Call_Handling,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Current Call Handling,Current_Call_Handling,picklist,used,Deals,Deals,Current Call Handling,Current_Call_Handling,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Days Visited,Days_Visited,integer,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Days Visited,Days_Visited,integer,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Days Visited,Days_Visited,integer,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Decision Authority,Decision_Authority,picklist,used,Contacts,Contacts,Decision Authority,Decision_Authority,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Decision Authority,Decision_Authority,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Decision Authority,Decision_Authority,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Decision-Maker Role,Decision_Maker_Role,picklist,used,Contacts,Contacts,Decision-Maker Role,Decision_Maker_Role,picklist,existing_used,mapped,exact,exact_active_actual_values,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Decision-Maker Role,Decision_Maker_Role,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Decision-Maker Role,Decision_Maker_Role,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Description,Description,textarea,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Description,Description,textarea,used,Accounts,Accounts,Description,Description,textarea,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Description,Description,textarea,used,Deals,Deals,Description,Description,textarea,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Title,Designation,text,used,Contacts,Contacts,Title,Title,text,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Title,Designation,text,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Title,Designation,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Disqualification Reason,Disqualification_Reason,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Disqualification Reason,Disqualification_Reason,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Disqualification Reason,Disqualification_Reason,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Email,Email,email,used,Contacts,Contacts,Email,Email,email,existing_used,mapped,exact,not_choice,observed_current_mapping,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Email,Email,email,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Email,Email,email,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
