schema_version,snapshot_date,module_label,module_api_name,field_label,field_display_label,field_api_name,data_type,json_type,origin_status,usage_status,visible_status,write_status,read_only_status,field_read_only_status,api_create_status,api_update_status,system_required_status,standard_layout_required_status,unique_status,encryption_status,personal_designation_status,virtual_status,length,decimal_places,history_tracking_status,external_field_status,searchable_status,filterable_status,sortable_status,help_text_status,picklist_value_count,picklist_options_status,metadata_verification_status
2,2026-08-14,Leads,Leads,Lead Owner,Lead Owner,Owner,ownerlookup,jsonobject,system,used,true,writable,false,true,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Pain Summary,Pain Summary,Pain_Point_Summary,textarea,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,2000,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Pain Signals,Pain Signals,Pain_Signals,multiselectpicklist,jsonarray,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,1000,,unknown,unknown,unknown,unknown,unknown,present,10,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Phone,Contact Phone,Phone,phone,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,30,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Phone System Provider,Phone System Provider,Phone_System_Provider,text,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,150,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Communication Preference,Communication Preference,Preferred_Communication_Method,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,4,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Primary Operating System,Primary Operating System,Primary_Operating_System,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,9,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Primary Service Area,Primary Service Area,Primary_Service_Area,textarea,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,2000,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Prospect Import Key,Prospect Import Key,Prospect_Import_Key,text,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,255,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Rating,Rating,Rating,picklist,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,9,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Lead Image,Record Image,Record_Image,profileimage,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,255,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Record Status,Record Status,Record_Status__s,picklist,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,3,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Referral Source Contact,Referral Source Contact,Referral_Source_Name,lookup,jsonobject,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Referrer,Referrer,Referrer,website,string,system,used,true,writable,false,true,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,3000,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Requested Test Route,Requested Test Route,Requested_Test_Route,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,4,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Research Notes,Research Notes,Research_Notes,textarea,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,2000,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Salutation,Salutation,Salutation,picklist,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,25,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,6,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Scheduling Process,Scheduling Process,Scheduling_Process,picklist,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,120,,unknown,unknown,unknown,unknown,unknown,present,7,captured,verified_live_read_only
2,2026-08-14,Leads,Leads,Secondary Email,Secondary Email,Secondary_Email,email,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,100,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Skype ID,Skype ID,Skype_ID,text,string,system,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,50,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Source Page,Source Page,Source_Page,text,string,custom,used,true,writable,false,false,true,true,optional,optional,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,255,,unknown,unknown,unknown,unknown,unknown,present,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,State,State,State,text,string,system,unused,true,writable,false,false,true,true,optional,not_present,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,100,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
2,2026-08-14,Leads,Leads,Street,Street,Street,text,string,system,unused,true,writable,false,false,true,true,optional,not_present,not_unique,not_encrypted,not_exposed_by_fields_api,concrete,250,,unknown,unknown,unknown,unknown,unknown,missing_or_not_exposed,0,not_applicable,verified_live_read_only
