schema_version,snapshot_date,module_api_name,layout_name,layout_api_name,layout_status,section_mode,section_sequence,section_label,section_api_name,column_count,field_sequence,field_source_ordinal,field_label,layout_display_label,field_api_name,data_type,default_value_status,required_status,read_only_status,field_read_only_status,api_write_status,metadata_verification_status
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,7,7,Time Zone,Time Zone,Time_Zone,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,9,Notes,Notes,1,1,1,Description,Description,Description,textarea,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,1,1,Most Recent Visit,Last Visited Time,Last_Visited_Time,datetime,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,2,2,First Page Visited,First Visited URL,First_Visited_URL,website,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,3,3,Average Time Spent (Minutes),Average Time Spent (Minutes),Average_Time_Spent_Minutes,double,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,4,4,Number Of Chats,Number Of Chats,Number_Of_Chats,integer,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,5,5,Referrer,Referrer,Referrer,website,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,6,6,Visitor Score,Visitor Score,Visitor_Score,bigint,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,7,7,First Visit,First Visited Time,First_Visited_Time,datetime,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,10,Visit Summary,Visit_Summary__s,2,8,8,Days Visited,Days Visited,Days_Visited,integer,not_exposed,optional,false,true,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,1,1,Entry Offer,Entry Offer,Entry_Offer,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,2,2,Requested Test Route,Requested Test Route,Requested_Test_Route,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,3,3,Phone System Provider,Phone System Provider,Phone_System_Provider,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,4,4,Primary Service Area,Primary Service Area,Primary_Service_Area,textarea,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,5,5,Free Test Request Notes,Free Test Request Notes,Free_Test_Request_Notes,textarea,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,6,6,Free Test Request Submitted At,Free Test Request Submitted At,Free_Test_Request_Submitted_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,11,Free Test Request,Free_Test_Request,2,7,7,Submission Channel,Submission Channel,Submission_Channel,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,1,1,Free Test Contact Consent,Free Test Contact Consent,Free_Test_Contact_Consent,boolean,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,2,2,Free Test Contact Consent At,Free Test Contact Consent At,Free_Test_Contact_Consent_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,3,3,Free Test Contact Consent Version,Free Test Contact Consent Version,Free_Test_Contact_Consent_Version,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,4,4,Source Page,Source Page,Source_Page,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,5,5,Intake Form Version,Intake Form Version,Intake_Form_Version,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,6,6,Intake Submission ID,Intake Submission ID,Intake_Submission_ID,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,7,7,utm_source,utm_source,UTM_Source,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,8,8,utm_medium,utm_medium,UTM_Medium,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,9,9,utm_campaign,utm_campaign,UTM_Campaign,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,10,10,utm_content,utm_content,UTM_Content,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,12,Free Test Attribution & Consent,Free_Test_Attribution_Consent,2,11,11,utm_term,utm_term,UTM_Term,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,13,System Information,System,2,1,1,Social Lead ID,Social Lead ID,leadchain0__Social_Lead_ID,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,13,System Information,System,2,2,2,Created By,Created By,Created_By,ownerlookup,not_exposed,optional,false,false,read_only,verified_live_read_only
