schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,mapping_review_status,review_reason_code,metadata_verification_status
1,2026-08-05,Leads,Leads,Created By,Created_By,ownerlookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Created By,Created_By,ownerlookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Created By,Created_By,ownerlookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Created Time,Created_Time,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Created Time,Created_Time,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Created Time,Created_Time,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Current Call Handling,Current_Call_Handling,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Current Call Handling,Current_Call_Handling,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Current Call Handling,Current_Call_Handling,picklist,used,Deals,Deals,Current Call Handling,Current_Call_Handling,picklist,existing_used,unmapped,exact,exact,safe_add,deal_owned,verified
1,2026-08-05,Leads,Leads,Days Visited,Days_Visited,integer,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Days Visited,Days_Visited,integer,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Days Visited,Days_Visited,integer,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Decision Authority,Decision_Authority,picklist,used,Contacts,Contacts,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,Decision Authority,Decision_Authority,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Decision Authority,Decision_Authority,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Decision-Maker Role,Decision_Maker_Role,picklist,used,Contacts,Contacts,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,Decision-Maker Role,Decision_Maker_Role,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Decision-Maker Role,Decision_Maker_Role,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Description,Description,textarea,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Description,Description,textarea,used,Accounts,Accounts,Description,Description,textarea,existing_used,mapped,exact,not_choice,safe_keep,exact_match,verified
1,2026-08-05,Leads,Leads,Description,Description,textarea,used,Deals,Deals,Description,Description,textarea,existing_used,mapped,exact,not_choice,safe_keep,exact_match,verified
1,2026-08-05,Leads,Leads,Designation,Designation,text,used,Contacts,Contacts,Title,Title,text,existing_used,mapped,exact,not_choice,safe_keep,exact_match,verified
1,2026-08-05,Leads,Leads,Designation,Designation,text,used,Accounts,Accounts,Title,Title,text,existing_used,mapped,exact,not_choice,remove,person_company_mismatch,verified
1,2026-08-05,Leads,Leads,Designation,Designation,text,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Disqualification Reason,Disqualification_Reason,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,process_state_owned,verified
1,2026-08-05,Leads,Leads,Disqualification Reason,Disqualification_Reason,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,process_state_owned,verified
1,2026-08-05,Leads,Leads,Disqualification Reason,Disqualification_Reason,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,process_state_owned,verified
1,2026-08-05,Leads,Leads,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Distance to Anchor ZIP,Distance_to_Anchor_ZIP,double,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Email,Email,email,used,Contacts,Contacts,Email,Email,email,existing_used,mapped,exact,not_choice,safe_keep,exact_match,verified
1,2026-08-05,Leads,Leads,Email,Email,email,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Email,Email,email,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Email Opt Out,Email_Opt_Out,boolean,used,Contacts,Contacts,Email Opt Out,Email_Opt_Out,boolean,existing_used,unmapped,exact,not_choice,safe_add,person_owned,verified
1,2026-08-05,Leads,Leads,Email Opt Out,Email_Opt_Out,boolean,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Email Opt Out,Email_Opt_Out,boolean,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Enrich Status,Enrich_Status__s,picklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Enrich Status,Enrich_Status__s,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
